company_id,file_name,company_name,sector,policy_url,source_type,pdf_path,review_needed,notes
F021,NICE평가정보.pdf,NICE평가정보,중소서민,,manual_pdf,data\raw_pdf\NICE평가정보.pdf,Y,
F030,나이스디앤비.pdf,나이스디앤비,중소서민,,manual_pdf,data\raw_pdf\나이스디앤비.pdf,Y,
F031,나이스정보통신.pdf,나이스정보통신,전자금융업자,,manual_pdf,data\raw_pdf\나이스정보통신.pdf,Y,
F032,네이버파이낸셜.pdf,네이버파이낸셜,전자금융업자,,manual_pdf,data\raw_pdf\네이버파이낸셜.pdf,Y,
F052,블루월넛.pdf,블루월넛,전자금융업자,,manual_pdf,data\raw_pdf\블루월넛.pdf,Y,
F061,서울평가정보.pdf,서울평가정보,중소서민,,manual_pdf,data\raw_pdf\서울평가정보.pdf,Y,
F074,에센틱금융그룹.pdf,에센틱금융그룹,보험GA,,manual_pdf,data\raw_pdf\에센틱금융그룹.pdf,Y,
F086,카카오.pdf,카카오,전자금융업자,,manual_pdf,data\raw_pdf\카카오.pdf,Y,
F098,티머니.pdf,티머니,전자금융업자,,manual_pdf,data\raw_pdf\티머니.pdf,Y,
F111,한국평가데이터.pdf,한국평가데이터,중소서민,,manual_pdf,data\raw_pdf\한국평가데이터.pdf,Y,
F115,해빗팩토리.pdf,해빗팩토리,핀테크,,manual_pdf,data\raw_pdf\해빗팩토리.pdf,Y,
F116,헥토이노베이션.pdf,헥토이노베이션,핀테크,,manual_pdf,data\raw_pdf\헥토이노베이션.pdf,Y,
F119,현대커머셜.pdf,현대커머셜,중소서민,,manual_pdf,data\raw_pdf\현대커머셜.pdf,Y,
